100
#Título,Autor,Quantidade,Preço
A Política e a Língua Inglesa,George Orwell,500,20
O Pequeno Príncipe,Antoine de Saint-Exupéry,500,25
Dom Quixote,Miguel de Cervantes,500,30
O Senhor dos Anéis,J.R.R. Tolkien,500,45
Cem Anos de Solidão,Gabriel García Márquez,500,35
1984,George Orwell,500,20
O Alquimista,Paulo Coelho,500,22
O Diário de Anne Frank,Anne Frank,500,18
O Código Da Vinci,Dan Brown,500,28
Harry Potter e a Pedra Filosofal,J.K. Rowling,500,40
A Menina que Roubava Livros,Markus Zusak,500,25
O Apanhador no Campo de Centeio,J.D. Salinger,500,27
O Hobbit,J.R.R. Tolkien,500,35
A Metamorfose,Franz Kafka,500,19
Crime e Castigo,Fiódor Dostoiévski,500,32
Orgulho e Preconceito,Jane Austen,500,24
O Retrato de Dorian Gray,Oscar Wilde,500,26
O Morro dos Ventos Uivantes,Emily Brontë,500,23
A Revolução dos Bichos,George Orwell,500,20
O Nome da Rosa,Umberto Eco,500,29
A Divina Comédia,Dante Alighieri,500,34
O Processo,Franz Kafka,500,21
Os Miseráveis,Victor Hugo,500,38
A Ilha do Tesouro,Robert Louis Stevenson,500,22
Moby Dick,Herman Melville,500,31
Drácula,Bram Stoker,500,27
Frankenstein,Mary Shelley,500,24
O Grande Gatsby,F. Scott Fitzgerald,500,26
O Velho e o Mar,Ernest Hemingway,500,20
As Aventuras de Tom Sawyer,Mark Twain,500,22
O Lobo da Estepe,Hermann Hesse,500,28
O Estrangeiro,Albert Camus,500,23
A Peste,Albert Camus,500,25
Em Busca do Tempo Perdido,Marcel Proust,500,40
O Sol é para Todos,Harper Lee,500,27
O Senhor das Moscas,William Golding,500,24
A Letra Escarlate,Nathaniel Hawthorne,500,22
Jane Eyre,Charlotte Brontë,500,26
Anna Karenina,Leo Tolstoy,500,35
Guerra e Paz,Leo Tolstoy,500,40
Madame Bovary,Gustave Flaubert,500,28
Os Irmãos Karamázov,Fiódor Dostoiévski,500,36
O Idiota,Fiódor Dostoiévski,500,33
O Jogador,Fiódor Dostoiévski,500,25
A Morte de Ivan Ilitch,Leo Tolstoy,500,20
O Príncipe,Nicolau Maquiavel,500,19
O Contrato Social,Jean-Jacques Rousseau,500,21
A República,Platão,500,22
Assim Falou Zaratustra,Friedrich Nietzsche,500,24
O Anticristo,Friedrich Nietzsche,500,23
O Mundo de Sofia,Jostein Gaarder,500,26
O Caçador de Pipas,Khaled Hosseini,500,28
A Cidade do Sol,Tommaso Campanella,500,20
O Livro dos Espíritos,Allan Kardec,500,22
O Livro dos Médiuns,Allan Kardec,500,23
O Evangelho Segundo o Espiritismo,Allan Kardec,500,24
Memórias Póstumas de Brás Cubas,Machado de Assis,500,25
Dom Casmurro,Machado de Assis,500,26
Quincas Borba,Machado de Assis,500,24
O Alienista,Machado de Assis,500,22
Vidas Secas,Graciliano Ramos,500,23
São Bernardo,Graciliano Ramos,500,24
Angústia,Graciliano Ramos,500,25
O Cortiço,Aluísio Azevedo,500,22
O Guarani,José de Alencar,500,21
Iracema,José de Alencar,500,20
Senhora,José de Alencar,500,22
Lucíola,José de Alencar,500,23
Macunaíma,Mário de Andrade,500,24
Os Sertões,Euclides da Cunha,500,28
Grande Sertão: Veredas,João Guimarães Rosa,500,30
Sagarana,João Guimarães Rosa,500,25
A Hora da Estrela,Clarice Lispector,500,22
Perto do Coração Selvagem,Clarice Lispector,500,24
A Paixão Segundo G.H.,Clarice Lispector,500,26
O Tempo e o Vento,Erico Verissimo,500,35
Incidente em Antares,Erico Verissimo,500,28
Olhai os Lírios do Campo,Erico Verissimo,500,24
Os Lusíadas,Luís de Camões,500,30
A Ilíada,Homero,500,35
A Odisseia,Homero,500,35
Hamlet,William Shakespeare,500,28
Romeu e Julieta,William Shakespeare,500,26
Otelo,William Shakespeare,500,27
Rei Lear,William Shakespeare,500,28
O Mercador de Veneza,William Shakespeare,500,25
Sonetos,William Shakespeare,500,24
A Arte da Guerra,Sun Tzu,500,20
O Livro dos Cinco Anéis,Miyamoto Musashi,500,22
O Príncipe,Nicolau Maquiavel,500,19
A Arte de Amar,Ovídio,500,21
As Mil e Uma Noites,Anônimo,500,30
O Livro de Mórmon,Joseph Smith,500,25
O Livro Tibetano dos Mortos,Anônimo,500,27
Bhagavad Gita,Anônimo,500,22
O Tao Te Ching,Lao Tsé,500,20
O Dhammapada,Anônimo,500,21
A Bíblia,Anônimo,500,35
O Alcorão,Anônimo,500,30
O Pequeno Livro Vermelho,Mao Tsé-Tung,500,18
